date,retew,csadew
2009-04-01,0.0341393154,0.0399125283
2009-04-02,0.0410590923,0.0485849328
2009-04-03,0.0183692248,0.0297615083
2009-04-06,-0.0190003385,0.0292837382
2009-04-07,-0.0333273876,0.0362025621
2009-04-08,0.024123,0.0260613488
2009-04-09,0.0537123876,0.0337465827
2009-04-13,-0.0060327557,0.0341536734
2009-04-14,-0.0094044385,0.0295549518
2009-04-15,0.0087664,0.0260244923
2009-04-16,0.0335343462,0.0346308669
2009-04-17,0.0118843231,0.0379398701
2009-04-20,-0.0650296462,0.0343192805
2009-04-21,0.0308056462,0.0341216045
2009-04-22,0.0126015077,0.0339037389
2009-04-23,-0.0027644462,0.0269043382
2009-04-24,0.0244125308,0.0293456033
2009-04-27,-0.0182956202,0.0311753493
2009-04-28,0.0051516202,0.0299472541
2009-04-29,0.0383405736,0.0302402172
2009-04-30,0.0137632171,0.0358279188
2009-05-01,0.0115744109,0.0290416424
2009-05-04,0.0545744186,0.041071258
2009-05-05,0.0011242791,0.0374320119
2009-05-06,0.0184564186,0.0372601806
2009-05-07,-0.0336657907,0.0388351632
2009-05-08,0.0407111938,0.0489194721
2009-05-11,-0.0137194419,0.0299596723
2009-05-12,-0.0185410233,0.0296608628
2009-05-13,-0.0590103411,0.0275076059
2009-05-14,0.0179751783,0.0253183812
2009-05-15,-0.0118607209,0.0222135872
2009-05-18,0.0310843488,0.0306990781
2009-05-19,0.0195043876,0.034743722
2009-05-20,0.0060525271,0.0298493351
2009-05-21,-0.0239989457,0.0251854689
2009-05-22,-0.0029189302,0.0204496629
2009-05-26,0.0426992403,0.0298062056
2009-05-27,-0.0030887519,0.0292934744
2009-05-28,0.0135528527,0.0274018602
2009-05-29,0.021876969,0.0345356069
2009-06-01,0.0488413023,0.0331409529
2009-06-02,0.0053912171,0.0303514664
2009-06-03,-0.0263255891,0.0277627443
2009-06-04,0.0313777287,0.028118285
2009-06-05,0.0123227519,0.0306720647
2009-06-08,0.0087249225,0.045429361
2009-06-09,0.0133478837,0.0310745041
2009-06-10,0.0045458295,0.0296173059
2009-06-11,0.0269643876,0.0432696796
2009-06-12,-0.0096873876,0.0260380606
2009-06-15,-0.0386096667,0.0243864599
2009-06-16,-0.0170099612,0.0297162311
2009-06-17,-0.010194845,0.0246341501
2009-06-18,0.0027254496,0.0251664259
2009-06-19,0.0093047984,0.025715158
2009-06-22,-0.044788907,0.0384380772
2009-06-23,-0.0044104264,0.0299858184
2009-06-24,0.0183574806,0.0263455765
2009-06-25,0.0293372016,0.0273516545
2009-06-26,0.0162823876,0.0493632335
2009-06-29,0.0036729147,0.0398591619
2009-06-30,-0.0066602171,0.0223075844
2009-07-01,0.0123284651,0.0234293762
2009-07-02,-0.027344093,0.0229374155
2009-07-06,-0.0264226047,0.0290245167
2009-07-07,-0.032377814,0.0208793582
2009-07-08,-0.020219907,0.0258611422
2009-07-09,0.0053119535,0.021523285
2009-07-10,0.0004653566,0.0199910891
2009-07-13,0.0159095814,0.0217026223
2009-07-14,0.0138237907,0.0231609749
2009-07-15,0.0431554419,0.0231452807
2009-07-16,0.0133044651,0.0239374743
2009-07-17,-0.0054596202,0.0183728501
2009-07-20,0.0151555349,0.0235192338
2009-07-21,0.0020295814,0.024153051
2009-07-22,0.0021914496,0.0175205104
2009-07-23,0.0292963953,0.0270173997
2009-07-24,0.0202744031,0.0301270648
2009-07-27,0.006385907,0.0211296286
2009-07-28,-0.0015872558,0.0279367564
2009-07-29,-0.0165727519,0.0188336297
2009-07-30,0.0198655736,0.0257182324
2009-07-31,0.0009425039,0.0235488414
2009-08-03,0.0195998992,0.0259258364
2009-08-04,0.0025251163,0.016483682
2009-08-05,-0.003488031,0.0247064102
2009-08-06,-0.0080297907,0.0310708408
2009-08-07,0.010401124,0.0236466153
2009-08-10,0.0154201705,0.0362685896
2009-08-11,-0.0249285194,0.0259712706
2009-08-12,0.0140831318,0.0212401091
2009-08-13,0.0030019845,0.022599286
2009-08-14,-0.0166705349,0.0200623797
2009-08-17,-0.0378764806,0.0191740013
2009-08-18,0.0212186124,0.0261261359
2009-08-19,0.0119861085,0.0229775714
2009-08-20,0.0081948837,0.0199517498
2009-08-21,0.0165549922,0.0243299305
2009-08-24,0.0014743125,0.0206457061
2009-08-25,-0.0034937891,0.0177328903
2009-08-26,-0.0012039063,0.0165373608
2009-08-27,0.0008721016,0.0183621301
2009-08-28,0.0012110391,0.0197651401
2009-08-31,-0.0215190391,0.0177893678
2009-09-01,-0.0255730703,0.0196853527
2009-09-02,-0.0041173438,0.0157326245
2009-09-03,0.0131530625,0.0203221045
2009-09-04,0.0183057813,0.0155422783
2009-09-08,0.0233344141,0.0284949529
2009-09-09,0.0137427422,0.019859835
2009-09-10,0.0212614922,0.0243719052
2009-09-11,-0.0032917109,0.0218539814
2009-09-14,0.0063467813,0.017696854
2009-09-15,0.0166889219,0.0228294253
2009-09-16,0.0193376172,0.0210598157
2009-09-17,0.0024370859,0.0227257556
2009-09-18,0.0006909453,0.0202203325
2009-09-21,-0.0036978516,0.0224299233
2009-09-22,0.0190164766,0.0273851202
2009-09-23,-0.0091150078,0.0223225378
2009-09-24,-0.0206713047,0.024256931
2009-09-25,-0.0008047266,0.0265940989
2009-09-28,0.0226866719,0.0228422292
2009-09-29,-0.0001833047,0.0195063013
2009-09-30,-0.0117362969,0.01723275
2009-10-01,-0.036889375,0.0235056367
2009-10-02,-0.0071328281,0.0185423027
2009-10-05,0.0178971719,0.0172708228
2009-10-06,0.0186030313,0.0181289067
2009-10-07,0.0009614766,0.0143274335
2009-10-08,0.0158088281,0.020653449
2009-10-09,0.0101794609,0.0158903972
2009-10-12,0.0108374219,0.0186132239
2009-10-13,0.0012670469,0.0191345266
2009-10-14,0.0152667344,0.0220483638
2009-10-15,-0.0001510234,0.0201543214
2009-10-16,-0.0093990625,0.0167632461
2009-10-19,0.0108169922,0.0175553828
2009-10-20,-0.0161391641,0.0160625309
2009-10-21,-0.0040570234,0.0177052385
2009-10-22,0.0024516484,0.0163093093
2009-10-23,-0.0191617656,0.0225112195
2009-10-26,-0.0222292578,0.0205874937
2009-10-27,-0.0111020156,0.0230908755
2009-10-28,-0.0480437813,0.027233771
2009-10-29,0.0332265234,0.0296385725
2009-10-30,-0.0357199609,0.0229104747
2009-11-02,-0.0107849922,0.0214209282
2009-11-03,0.0161147109,0.0282552484
2009-11-04,-0.0084300469,0.0234696868
2009-11-05,0.0341813359,0.0290975078
2009-11-06,0.0019688438,0.0211262085
2009-11-09,0.0155594574,0.0239562394
2009-11-10,-0.0111720233,0.020003824
2009-11-11,0.005583,0.0178247287
2009-11-12,-0.0224478372,0.0187875053
2009-11-13,0.018490814,0.022012936
2009-11-16,0.0284250465,0.0234255536
2009-11-17,-0.004959876,0.0194769003
2009-11-18,-0.0020452248,0.0166407293
2009-11-19,-0.0189816434,0.0196997435
2009-11-20,-0.0041004806,0.0181001674
2009-11-23,0.014183814,0.0167684309
2009-11-24,-0.0027477907,0.0164971877
2009-11-25,0.0082015581,0.0236022203
2009-11-27,-0.0159832171,0.0182099155
2009-11-30,0.0039374031,0.0226963292
2009-12-01,0.030907124,0.0274291926
2009-12-02,0.0079053178,0.0215996226
2009-12-03,-0.0086105736,0.0190557521
2009-12-04,0.0126010543,0.0219533139
2009-12-07,0.0133773798,0.0228727214
2009-12-08,-0.010522124,0.0188047723
2009-12-09,0.0020825814,0.0194408581
2009-12-10,-0.0037184574,0.0214882297
2009-12-11,0.0017300775,0.0165828521
2009-12-14,0.0187827907,0.0245741507
2009-12-15,0.0018906899,0.0201211674
2009-12-16,0.0111406977,0.0196263584
2009-12-17,-0.0121477054,0.0169796302
2009-12-18,0.0088802946,0.0249771049
2009-12-21,0.0187958527,0.0255423846
2009-12-22,0.007049938,0.0225175064
2009-12-23,0.0036566202,0.0174214023
2009-12-24,0.0050106512,0.0114420501
2009-12-28,0.0028386357,0.0235761796
2009-12-29,0.0009049147,0.0268582482
2009-12-30,-0.001556876,0.0167878364
2009-12-31,-0.0083973023,0.0141660948
2010-01-04,0.0286173798,0.0222189731
2010-01-05,0.0100619225,0.0244164978
2010-01-06,0.0070480155,0.0214691186
2010-01-07,0.004168845,0.0180899031
2010-01-08,0.0165228682,0.0259791062
2010-01-11,0.0022119922,0.0230579912
2010-01-12,-0.0156257752,0.023394544
2010-01-13,0.0054111473,0.0193575237
2010-01-14,-0.0100623178,0.0198283836
2010-01-15,-0.0190503488,0.0194259701
2010-01-19,0.0088725891,0.0181321322
2010-01-20,-0.0138253101,0.0193953357
2010-01-21,-0.0220174729,0.0202204447
2010-01-22,-0.0327343643,0.0219113595
2010-01-25,0.0084474651,0.0202594898
2010-01-26,-0.0087132171,0.0174558487
2010-01-27,-0.0050940155,0.0190120939
2010-01-28,-0.0130672636,0.018258703
2010-01-29,-0.0196523256,0.0189463021
2010-02-01,0.0230812946,0.0216678965
2010-02-02,0.0108463256,0.0189314282
2010-02-03,-0.0067433566,0.015931613
2010-02-04,-0.0467626744,0.0222935324
2010-02-05,0.002042186,0.0225506526
2010-02-08,-0.0115938527,0.0201077517
2010-02-09,0.0124198527,0.0197370281
2010-02-10,-0.0044685116,0.0209162286
2010-02-11,0.0236789457,0.0195654383
2010-02-12,0.0079019457,0.0163408567
2010-02-16,0.0237945659,0.0228693759
2010-02-17,0.0047848837,0.0199074199
2010-02-18,0.0027954496,0.0174951717
2010-02-19,-0.0067594574,0.0202657495
2010-02-22,0.000096,0.0206822161
2010-02-23,-0.0183718527,0.0183848415
2010-02-24,-0.0002425814,0.0156848505
2010-02-25,-0.001645062,0.0177369588
2010-02-26,0.0000396,0.0204250069
2010-03-01,0.0164604961,0.0187727631
2010-03-02,0.0103864264,0.0166850145
2010-03-03,0.0061450233,0.0160660256
2010-03-04,-0.0015031085,0.0153961488
2010-03-05,0.0149805969,0.0180199041
2010-03-08,0.0017205891,0.0153775879
2010-03-09,0.001290186,0.0175504529
2010-03-10,0.0084242326,0.0187740177
2010-03-11,0.0086682946,0.0201204146
2010-03-12,0.0012727054,0.0190997733
2010-03-15,-0.0092732093,0.0177555947
2010-03-16,0.0067969225,0.0138808044
2010-03-17,0.0045892171,0.0174775797
2010-03-18,-0.0088715194,0.0181022145
2010-03-19,-0.0170132791,0.0215416939
2010-03-22,0.006910969,0.0230467449
2010-03-23,0.0160437597,0.0180514217
2010-03-24,-0.0054958837,0.0162391412
2010-03-25,-0.0070425426,0.0183206669
2010-03-26,0.0034900465,0.014099307
2010-03-29,0.0070945891,0.0259261148
2010-03-30,0.0011788682,0.0177937709
2010-03-31,-0.0022647364,0.0182422665
2010-04-01,0.0128219922,0.0207109206
2010-04-05,0.0192292713,0.0198542437
2010-04-06,-0.0021248915,0.0149857528
2010-04-07,0.0029894496,0.0208069453
2010-04-08,-0.001626155,0.0166392474
2010-04-09,0.0020645271,0.0163380204
2010-04-12,0.0006106744,0.0160454858
2010-04-13,0.0001974341,0.0148191714
2010-04-14,0.0208525581,0.0215454484
2010-04-15,0.008159938,0.0184342699
2010-04-16,-0.0166665349,0.0196725152
2010-04-19,-0.0077955659,0.0157661496
2010-04-20,0.0179059612,0.016867197
2010-04-21,-0.0026107597,0.0193315798
2010-04-22,0.0119043643,0.0176453679
2010-04-23,0.0111550462,0.0176974107
2010-04-26,-0.0060874231,0.0169710473
2010-04-27,-0.0259492231,0.0185773804
2010-04-28,0.0059582231,0.0148296727
2010-04-29,0.0139612308,0.0222745716
2010-04-30,-0.0182399692,0.0259005889
2010-05-03,0.0212744154,0.0195933025
2010-05-04,-0.0353743615,0.0169415308
2010-05-05,-0.0186635154,0.0194033993
2010-05-06,-0.0455535385,0.0257850071
2010-05-07,-0.0310287923,0.0247194379
2010-05-10,0.0543271615,0.0272916613
2010-05-11,-0.0003160615,0.0207159404
2010-05-12,0.0295797231,0.0248670017
2010-05-13,-0.0021163308,0.018272926
2010-05-14,-0.0297899923,0.0207270378
2010-05-17,-0.0091697939,0.0239872364
2010-05-18,-0.0227922901,0.0183484779
2010-05-19,-0.0176761985,0.0189569695
2010-05-20,-0.0488522824,0.023101493
2010-05-21,0.018937084,0.0231739181
2010-05-24,-0.0169626794,0.018647611
2010-05-25,-0.0080164427,0.0224428346
2010-05-26,0.0079615191,0.0239318592
2010-05-27,0.0477306718,0.0256266723
2010-05-28,-0.0082389542,0.0221357638
2010-06-01,-0.0318288473,0.0236593612
2010-06-02,0.0314632824,0.0253033573
2010-06-03,0.0162342595,0.0205079579
2010-06-04,-0.0446848779,0.0197056651
2010-06-07,-0.0290170687,0.0232804114
2010-06-08,-0.0052328855,0.0192371125
2010-06-09,-0.0028823817,0.0178531116
2010-06-10,0.0401388092,0.0216943428
2010-06-11,0.0144681298,0.0182075871
2010-06-14,0.0050339084,0.0182685183
2010-06-15,0.0382127939,0.0262132454
2010-06-16,0.0004889695,0.0189960571
2010-06-17,-0.0005187176,0.0152459268
2010-06-18,0.0042811527,0.0190170321
2010-06-21,-0.0074695573,0.0172615844
2010-06-22,-0.0204378779,0.0174843215
2010-06-23,-0.0033082443,0.0155796429
2010-06-24,-0.0243895496,0.0200594133
2010-06-25,0.0102327557,0.0271096887
2010-06-28,-0.0003079008,0.0240475885
2010-06-29,-0.0433096107,0.0241310632
2010-06-30,-0.0056706364,0.0245160744
2010-07-01,-0.0030660379,0.0217122331
2010-07-02,-0.0042734242,0.0179908678
2010-07-06,-0.0044378561,0.0236437241
2010-07-07,0.0315938182,0.0265422576
2010-07-08,0.0164603864,0.018495051
2010-07-09,0.0143039394,0.0179577938
2010-07-12,-0.0115463712,0.0181847842
2010-07-13,0.0229446061,0.0195066336
2010-07-14,0.0030759697,0.0192813375
2010-07-15,-0.0003974621,0.0188664073
2010-07-16,-0.0313725152,0.0168435367
2010-07-19,0.0087000152,0.0185580158
2010-07-20,0.0143447803,0.0173826473
2010-07-21,-0.0071758636,0.02211423
2010-07-22,0.0346075455,0.0246222769
2010-07-23,0.0141926241,0.0194493994
2010-07-26,0.0173555489,0.0191383363
2010-07-27,-0.0077290902,0.0201680635
2010-07-28,-0.0095963459,0.0193627777
2010-07-29,-0.0039328045,0.021709111
2010-07-30,-0.0015389328,0.0230558991
2010-08-02,0.0142485896,0.0198855605
2010-08-03,-0.0030543731,0.0187928975
