date,"WTI Crude Oil Price, 2001:01=100"
2001-01-31,100
2001-02-28,95.562544
2001-03-30,92.1383650803
2001-04-30,99.5108320257
2001-05-31,99.1963668503
2001-06-29,92.1383658035
2001-07-31,93.2914055836
2001-08-31,93.1167025
2001-09-28,81.9007696112
2001-10-31,74.0740748987
2001-11-30,67.9944103866
2001-12-31,69.7414404086
2002-01-31,68.8679253804
2002-02-28,76.1006298001
2002-03-28,76.1006298001
2002-04-30,76.1006298001
2002-05-31,70.6688499393
2002-06-28,74.6242999539
2002-07-31,75.2649712101
2002-08-30,80.6967508538
2002-09-30,85.2093067058
2002-10-31,75.7106554789
2002-11-29,75.7106554789
2002-12-31,75.7106554789
2003-01-31,81.2901015083
2003-02-28,89.1741008544
2003-03-31,75.5408459643
2003-04-30,63.2903235199
2003-05-30,71.7080093319
2003-06-30,73.1392581734
2003-07-31,74.1338548094
2003-08-29,77.0448703688
2003-09-30,70.8104456855
2003-10-31,70.931737606
2003-11-28,70.931737606
2003-12-31,70.931737606
2004-01-30,72.349936128
2004-02-27,78.7209195685
2004-03-31,78.000911273
2004-04-30,81.4045871177
2004-05-28,81.4045871177
2004-06-30,81.4045871177
2004-07-30,96.3978484103
2004-08-31,93.1125605735
2004-09-30,109.2744140526
2004-10-29,114.1692729178
2004-11-30,108.3924572699
2004-12-31,108.3924572699
2005-01-31,108.3924572699
2005-02-28,116.2551225529
2005-03-31,124.2525763324
2005-04-29,110.526609182
2005-05-31,116.9964599877
2005-06-30,127.2179247425
2005-07-29,136.3835462236
2005-08-31,154.1756349533
2005-09-30,148.7391630926
2005-10-31,134.3392532105
2005-11-30,128.7904576771
2005-12-30,137.1698121313
2006-01-31,152.445847597
2006-02-28,137.8662194288
2006-03-31,148.8290213482
2006-04-28,161.2969612744
2006-05-31,160.4433003328
2006-06-30,166.1044186437
2006-07-31,167.4972340929
2006-08-31,158.1069656308
2006-09-29,141.3033272832
2006-10-31,131.9130584726
2006-11-30,141.4605800327
2006-12-29,136.6980521476
2007-01-31,130.6774967454
2007-02-28,138.7872742411
2007-03-30,148.1326138911
2007-04-30,147.7731775101
2007-05-31,143.8193805386
2007-06-29,158.3091500494
2007-07-31,175.6744084183
2007-08-31,166.1942812642
2007-09-28,183.4022864378
2007-10-31,211.5281641572
2007-11-30,199.0377581629
2007-12-31,215.549355361
2008-01-31,205.9344379526
2008-02-29,228.6463087177
2008-03-31,228.1071538623
2008-04-30,255.4242994345
2008-05-30,286.088694107
2008-06-30,314.41675316
2008-07-31,278.9448996228
2008-08-29,259.5802769039
2008-09-30,226.2201125492
2008-10-31,152.985002304
2008-11-28,124.0279291649
2008-12-31,100.1928209484
2009-01-30,93.7454349628
2009-02-27,99.1819061654
2009-03-31,111.5150581706
2009-04-30,113.1100558173
2009-05-29,148.9638091246
2009-06-30,156.8489387361
2009-07-31,155.5909130011
2009-08-31,157.1859112362
2009-09-30,158.2866841726
2009-10-30,173.0684951125
2009-11-30,173.4054663952
2009-12-31,178.3477129335
2010-01-29,163.6557618523
2010-02-26,179.0890500783
2010-03-31,187.468404661
2010-04-30,193.3541720672
2010-05-28,193.3541720672
2010-06-30,193.3541720672
2010-07-30,201.6930347876
2010-08-31,183.9921373966
2010-09-30,204.5067620976
2010-10-29,208.3436627512
2010-11-30,215.1733451083
2010-12-31,233.7439409064
2011-01-31,232.7463474785
2011-02-28,248.3753205708
2011-03-31,271.6269339822
2011-04-29,290.044054987
2011-05-31,262.6997485419
2011-06-30,243.7710416296
2011-07-29,244.7430567187
2011-08-31,227.1700549191
2011-09-30,201.8976748153
2011-10-31,238.3738029115
2011-11-30,256.7141855743
2011-12-30,252.8005470095
2012-01-31,251.8541123216
2012-02-29,273.9034965921
2012-03-30,263.5438665023
2012-04-30,268.3016212889
2012-05-31,221.312386105
2012-06-29,217.5266451989
2012-07-31,225.3027616083
2012-08-31,246.7638207064
2012-09-28,235.7902878876
2012-10-31,220.5705859854
2012-11-30,226.4794117106
2012-12-31,234.8950129588
2013-01-31,249.7821843922
2013-02-28,235.4066002206
2013-03-28,235.4066002206
2013-04-30,235.4066002206
2013-05-31,232.1489895432
2013-06-28,243.3359800565
2013-07-31,265.406928185
2013-08-30,272.6797335724
2013-09-30,258.4876587367
2013-10-31,243.1592087449
2013-11-29,233.714661918
2013-12-31,247.9067346883
2014-01-31,246.3410598728
2014-02-28,259.8008028238
2014-03-31,256.4926864573
2014-04-30,252.7047665547
2014-05-30,261.1139497869
2014-06-30,267.856447254
2014-07-31,248.0582531328
2014-08-29,247.1238995524
2014-09-30,230.229775821
2014-10-31,203.3607960201
2014-11-28,166.5169607421
2014-12-31,134.9762138996
2015-01-30,120.6831290897
2015-02-27,125.8599525951
2015-03-31,120.5063585484
2015-04-30,150.557189453
2015-05-29,152.1481152294
2015-06-30,150.2036501449
2015-07-31,118.9659367137
2015-08-31,124.2437712715
2015-09-30,113.7891126512
2015-10-30,117.6780433281
2015-11-30,102.0970667558
2015-12-31,93.7636427987
