date,entity,metric,value,user_id
2015-04-17,treatment_group,nasdaq_volume,2231555.143,888
2015-04-20,treatment_group,nasdaq_volume,1991073.143,888
2015-04-21,treatment_group,nasdaq_volume,2033689.214,888
2015-04-22,treatment_group,nasdaq_volume,1971375.857,888
2015-04-23,treatment_group,nasdaq_volume,1642409.214,888
2015-04-24,treatment_group,nasdaq_volume,1756607.571,888
2015-04-27,treatment_group,nasdaq_volume,1456363.571,888
2015-04-28,treatment_group,nasdaq_volume,2225406.929,888
2015-04-29,treatment_group,nasdaq_volume,3396748.071,888
2015-04-30,treatment_group,nasdaq_volume,2504041.071,888
2015-05-01,treatment_group,nasdaq_volume,2126107.071,888
2015-05-04,treatment_group,nasdaq_volume,1932306.214,888
2015-05-05,treatment_group,nasdaq_volume,2422750.643,888
2015-05-06,treatment_group,nasdaq_volume,2580896.643,888
2015-05-07,treatment_group,nasdaq_volume,2263170.214,888
2015-05-08,treatment_group,nasdaq_volume,2137421.643,888
2015-05-11,treatment_group,nasdaq_volume,1676858.714,888
2015-05-12,treatment_group,nasdaq_volume,1873306.571,888
2015-05-13,treatment_group,nasdaq_volume,2033679.786,888
2015-05-14,treatment_group,nasdaq_volume,1935889,888
2015-05-15,treatment_group,nasdaq_volume,2032844,888
2015-05-18,treatment_group,nasdaq_volume,1569685.071,888
2015-05-19,treatment_group,nasdaq_volume,2086808.786,888
2015-05-20,treatment_group,nasdaq_volume,2582560.714,888
2015-05-21,treatment_group,nasdaq_volume,1960088.714,888
2015-05-22,treatment_group,nasdaq_volume,1458623.214,888
2015-05-26,treatment_group,nasdaq_volume,2224366,888
2015-05-27,treatment_group,nasdaq_volume,1783748.857,888
2015-05-28,treatment_group,nasdaq_volume,1949210.429,888
2015-05-29,treatment_group,nasdaq_volume,1886935.786,888
2015-06-01,treatment_group,nasdaq_volume,2470910.071,888
2015-06-02,treatment_group,nasdaq_volume,2005783.714,888
2015-06-03,treatment_group,nasdaq_volume,2253400.5,888
2015-06-04,treatment_group,nasdaq_volume,2020139,888
2015-06-05,treatment_group,nasdaq_volume,2123545.643,888
2015-06-08,treatment_group,nasdaq_volume,1964256.643,888
2015-06-09,treatment_group,nasdaq_volume,2252760.571,888
2015-06-10,treatment_group,nasdaq_volume,1951195.071,888
2015-06-11,treatment_group,nasdaq_volume,1973853.214,888
2015-06-12,treatment_group,nasdaq_volume,2249009,888
2015-06-15,treatment_group,nasdaq_volume,2552615.214,888
2015-06-16,treatment_group,nasdaq_volume,1837963.429,888
2015-06-17,treatment_group,nasdaq_volume,2493141.357,888
2015-06-18,treatment_group,nasdaq_volume,2590680.071,888
2015-06-19,treatment_group,nasdaq_volume,2092687.143,888
2015-06-22,treatment_group,nasdaq_volume,1734253.214,888
2015-06-23,treatment_group,nasdaq_volume,1668280.786,888
2015-06-24,treatment_group,nasdaq_volume,1507434.214,888
2015-06-25,treatment_group,nasdaq_volume,1980684.214,888
2015-06-26,treatment_group,nasdaq_volume,3346585.571,888
2015-06-29,treatment_group,nasdaq_volume,2620753.857,888
2015-06-30,treatment_group,nasdaq_volume,2280989.5,888
2015-07-01,treatment_group,nasdaq_volume,2042269.571,888
2015-07-02,treatment_group,nasdaq_volume,1764125.071,888
2015-07-06,treatment_group,nasdaq_volume,2018927,888
2015-07-07,treatment_group,nasdaq_volume,2981739.143,888
2015-07-08,treatment_group,nasdaq_volume,2403821.071,888
2015-07-09,treatment_group,nasdaq_volume,2283195.286,888
2015-07-10,treatment_group,nasdaq_volume,1825900.643,888
2015-07-13,treatment_group,nasdaq_volume,1887337.714,888
2015-07-14,treatment_group,nasdaq_volume,3041998,888
2015-07-15,treatment_group,nasdaq_volume,2691924.143,888
2015-07-16,treatment_group,nasdaq_volume,2294594.643,888
2015-07-17,treatment_group,nasdaq_volume,2347175.714,888
2015-07-20,treatment_group,nasdaq_volume,1957239.071,888
2015-07-21,treatment_group,nasdaq_volume,2047353,888
2015-07-22,treatment_group,nasdaq_volume,2591792.714,888
2015-07-23,treatment_group,nasdaq_volume,2550375.929,888
